item,itemLabel,itemDescription,twitterName,twitterID,twitterFollowers,sitelinks
http://www.wikidata.org/entity/Q56509781,Eylül Öztürk,Türk oyuncu,,,,0
http://www.wikidata.org/entity/Q56562077,Ayşegül Gündüz,"Turkish biomedical engineer, researcher",,,,0
http://www.wikidata.org/entity/Q56604972,Alev Irmak,Turkish-Austrian actor,,,,1
http://www.wikidata.org/entity/Q56635681,Yalçın Kayan,association football player,,,,6
http://www.wikidata.org/entity/Q56641602,Alihan Kubalas,association football player,,,,4
http://www.wikidata.org/entity/Q56649880,April Malmsteen,,,,,0
http://www.wikidata.org/entity/Q56660622,Sokrat Todorov,Bulgarian diplomat,,,,2
http://www.wikidata.org/entity/Q56676993,Elizabeth MacCallum,Canadian diplomat,,,,0
http://www.wikidata.org/entity/Q56702602,Alphons von Cramer,(1834-1884),,,,1
http://www.wikidata.org/entity/Q56751503,Mustafa Asri Ünsür,,,,,1
http://www.wikidata.org/entity/Q56751500,Erdin Bircan,Turkish politician (1959-2018),,,,1
http://www.wikidata.org/entity/Q56752632,Çetin Güngör,,,,,1
http://www.wikidata.org/entity/Q56754097,Barış Turan,Blog Author,,,,0
http://www.wikidata.org/entity/Q56787253,Q56787253,,,,,1
http://www.wikidata.org/entity/Q56809020,R. Cengiz Ertekin,Turkish marine engineer,,,,2
http://www.wikidata.org/entity/Q56809128,Mustafa Ethem Erboğa,association football player,,,,3
http://www.wikidata.org/entity/Q56831405,Ebru Yıldız,Turkish-American photographer,,,,2
http://www.wikidata.org/entity/Q56849209,John XI Becchus,"born c. 1235, Nicaea , Empire of Nicaea—died March 1297, Nicomedia , Byzantine Empire",,,,0
http://www.wikidata.org/entity/Q56876263,Virginia Evangelidou,Greek poet,,,,1
http://www.wikidata.org/entity/Q56876463,İlayda Bayar,Turkish figure skater,,,,0
http://www.wikidata.org/entity/Q56884806,Raimondo Giustiniani,,,,,1
http://www.wikidata.org/entity/Q57005232,Mehmet Bülent Nuri Bektur,"Turkish businessman, physician",,,,0
http://www.wikidata.org/entity/Q57242207,Ramazan Keskin,association football player,,,,6
http://www.wikidata.org/entity/Q57260887,Theanō Papazoglou-Margarē,,,,,1
http://www.wikidata.org/entity/Q57269108,Q57269108,,,,,2
http://www.wikidata.org/entity/Q57290343,Eno,German rapper,,,,6
http://www.wikidata.org/entity/Q57313426,Orhan Kiverlioğlu Aksoy,,,,,1
http://www.wikidata.org/entity/Q57313425,Yaman Tüzcet,Turkish actor,,,,2
http://www.wikidata.org/entity/Q57313534,Ülkü Uludoğan,Turkish artist (born 1940),,,,1
http://www.wikidata.org/entity/Q57313834,Erdoğan Akın,association football player (1929-2017),,,,1
http://www.wikidata.org/entity/Q57313838,Tekin Bilge,Turkish footballer (1930-2016),,,,1
http://www.wikidata.org/entity/Q57339404,Aydoğan Çipiloğlu,association football player,,,,2
http://www.wikidata.org/entity/Q57339409,Ahmet Tuna Kozan,Turkish footballer (1943-1988),,,,2
http://www.wikidata.org/entity/Q57339413,Cavit Gökalp,association football player,,,,1
http://www.wikidata.org/entity/Q57339422,Ergun Taner,association football player,,,,1
http://www.wikidata.org/entity/Q57339438,İbrahim Yalçınkaya,turkish association football Player,,,,1
http://www.wikidata.org/entity/Q57339443,Samin Uygun,Turkish footballer (1939-2017),,,,2
http://www.wikidata.org/entity/Q57339451,Turhan Yıldız,Turkish footballer,,,,1
http://www.wikidata.org/entity/Q57339454,Zeki Şensan,Turkish footballer,,,,1
http://www.wikidata.org/entity/Q57400965,Abdurrahim Dursun,Turkish footballer,,,,6
http://www.wikidata.org/entity/Q57402118,Atakan Çankaya,Turkish association football player,,,,3
http://www.wikidata.org/entity/Q57415806,Altay Bayındır,Turkish footballer,,,,21
http://www.wikidata.org/entity/Q57421951,Bilal Omer Cakir,Turkish male curler and coach,,,,1
http://www.wikidata.org/entity/Q57432046,Oğuzhan Karakurt,Turkish male curler,,,,1
http://www.wikidata.org/entity/Q57451696,Pinar Heggernes,Turkish-born Norwegian computer scientist,,,,1
http://www.wikidata.org/entity/Q57540280,Evren Gezer,,,,,2
http://www.wikidata.org/entity/Q57559051,Safak Bulut,researcher ORCID ID = 0000-0002-9047-6816,,,,0
http://www.wikidata.org/entity/Q57579021,Ferhat Güneyli,,,,,1
http://www.wikidata.org/entity/Q57583537,Sera Gösch,Austrian operatic soprano,,,,1
http://www.wikidata.org/entity/Q57584045,Tülay Tura Börtecene,,,,,1
http://www.wikidata.org/entity/Q57587656,Nachman Castro,Israeli footballer,,,,2
http://www.wikidata.org/entity/Q57613764,Betül Tanbay,Turkish mathematician,,,,5
http://www.wikidata.org/entity/Q57832555,Orhan Üstündağ,association football player,,,,2
http://www.wikidata.org/entity/Q57883498,Muhammad Arabzade,Ottoman faqih and judge,,,,1
http://www.wikidata.org/entity/Q57904124,Hurriyet Babacan,"researcher, ORCID id # 0000-0001-7816-7546",,,,0
http://www.wikidata.org/entity/Q57924372,Muhammad ibn Yusuf al-Isbiri,Ottoman-Syrian faqih,,,,1
http://www.wikidata.org/entity/Q57955146,Mustafa Halim Özyazıcı,Ottoman calligrapher,,,,4
http://www.wikidata.org/entity/Q57976282,Muslih al-Din Sururi,Ottoman Turkish faqih,,,,1
http://www.wikidata.org/entity/Q58009572,Onur Ural,football player,,,,3
http://www.wikidata.org/entity/Q58010888,Mehmet Kâmil Berk,Turkish physician,,,,3
http://www.wikidata.org/entity/Q58033495,Cem Zeynel Kılıç,Turkish actor,,,,1
http://www.wikidata.org/entity/Q58049494,Saadet Sönmez,,,,,1
http://www.wikidata.org/entity/Q58175882,Rasim Mutuk,Turkish politician,,,,1
http://www.wikidata.org/entity/Q58210831,Yücel Satıral,Turkish businessman,,,,0
http://www.wikidata.org/entity/Q58282786,Deniz Dilan Karaman Örsal,economist,,,,0
http://www.wikidata.org/entity/Q58352889,M. Tamer Özsu,"researcher, ORCID id # 0000-0002-8126-1717",,,,2
http://www.wikidata.org/entity/Q58550334,Carlo Giuseppe Testa,Auxiliary bishop of the Latin Vicariate of Constantinople,,,,1
http://www.wikidata.org/entity/Q58641042,Özlem Gezer,Turkish women's football goalkeeper,,,,2
http://www.wikidata.org/entity/Q58721310,Şanver Akın,,,,,1
http://www.wikidata.org/entity/Q58840969,Léon Korkoruny,,,,,1
http://www.wikidata.org/entity/Q59099736,Muammer Atalay,football player,,,,1
http://www.wikidata.org/entity/Q59105411,Alperen Bektas,football player,,,,1
http://www.wikidata.org/entity/Q59140003,Elif Güneri,Turkish boxer,,,,6
http://www.wikidata.org/entity/Q59155679,Sema Çalışkan,Turkish boxer,,,,4
http://www.wikidata.org/entity/Q59159951,Andreas Ventouratos,"Greek actor, poet, director and praywright",,,,0
http://www.wikidata.org/entity/Q59161889,Artsrouni Gasparyan,,,,,3
http://www.wikidata.org/entity/Q59180486,Kazım Çelik,association football player,,,,1
http://www.wikidata.org/entity/Q59194611,Q59194611,,,,,0
http://www.wikidata.org/entity/Q59209421,Adnan Örnek,Turkish footballer and manager,,,,2
http://www.wikidata.org/entity/Q59241778,Q59241778,,,,,0
http://www.wikidata.org/entity/Q59268331,Benjamin Evsevides,Roman Catholic archbishop,,,,2
http://www.wikidata.org/entity/Q59268508,Seyyit Ahmet Ağralı,Turkish wrestler,,,,2
http://www.wikidata.org/entity/Q59295743,Q59295743,,,,,1
http://www.wikidata.org/entity/Q59297757,Betül Nur Yılmaz,Turkish football referee and school teacher,,,,2
http://www.wikidata.org/entity/Q59313712,Selin Hafızoğlu,figure skater,,,,0
http://www.wikidata.org/entity/Q59314831,Takvor Takvorian,author and lexicographer (1915-2005),,,,0
http://www.wikidata.org/entity/Q59325300,Elif Köroğlu,Turkish female football referee and long-distance runner,,,,2
http://www.wikidata.org/entity/Q59329766,Zeynep Dilruba Sanoğlu,figure skater,,,,0
http://www.wikidata.org/entity/Q59342855,Mahmut Bilgili,,,,,1
http://www.wikidata.org/entity/Q59348705,Turan Doğangün,Turkish association football player,,,,1
http://www.wikidata.org/entity/Q59352727,Zeinab Kedia,,,,,1
http://www.wikidata.org/entity/Q59392050,Gürcan Aday,Turkish association football player,,,,1
http://www.wikidata.org/entity/Q59392992,Melek Delilbasi,Turk professor of medieval history at the University of Ankara,,,,0
http://www.wikidata.org/entity/Q59393983,Ali Ömürcan,,,,,1
http://www.wikidata.org/entity/Q59423257,Mislina Gözükara,Turkish footballer,,,,4
http://www.wikidata.org/entity/Q59498902,Q59498902,,,,,1
http://www.wikidata.org/entity/Q59519578,Ahmet Akkuş,Turkish association football player,,,,1
http://www.wikidata.org/entity/Q59524983,Nikolaos Kritikos,"born:1894|died:1986|; Kritikos, Nikolaos; Kritikos, Nikolaos, 1894-1986",,,,0
http://www.wikidata.org/entity/Q55693069,Angéla Médici,,,,,0
http://www.wikidata.org/entity/Q55698724,Serdar Ünsal,,,,,1
http://www.wikidata.org/entity/Q55712896,Polymnia Lascaris,,,,,0
http://www.wikidata.org/entity/Q55721646,Mehmet Yaman,photojournalist,,,,1
http://www.wikidata.org/entity/Q55721756,Ceylan Özgün Özçelik,Turkish film director,,,,3
http://www.wikidata.org/entity/Q55738573,İbrahim Balcıoğlu,psychiatrist,,,,0
http://www.wikidata.org/entity/Q55739452,Vuslat Saraçoğlu,"Turkish actress, screenwriter and film director",,,,1
http://www.wikidata.org/entity/Q55739457,Gözde Mimiko Türkkan,Turkish photographer,,,,2
http://www.wikidata.org/entity/Q55740067,Odette Laguerre,"French activist, editor",,,,1
